##alive;"Judge not convinced murder victim is ___" (Baltimore Sun)
##chick;"___ accuses some of her colleagues of sexism" (L.A. Times)
##coldwave;"___ linked to temperatures" (newspaper headline)
##cows;"___ lose their jobs as milk prices drop" (Baltimore Sun)
##crack;"Strip search finds ___ between buttocks" (WYFF4.com headline)
##dead;"Man found ___ in graveyard" (Evening Standard)
##eel;"Endangered seal with ___ up its nose remains a mystery" (BBC)
##eels;"___ stuck in Hawaiian monk seals' noses baffle scientists" (Washington Post)
##everyonemakesmistakes;"'___' says teen who karate-kicked 74-year-old man into River Mersey" (Manchester Evening News)
##food;"___ is basic to student diet" (Bridgeport (Connecticut) Post)
##gunshop;"Federal agents raid ___, find weapons" (The World)
##hearing;"Shouting match ends teacher's ___" (newspaper headline)
##homicide;"___ victims rarely talk to police" (Express Times)
##illiteracy;"___ an obstable, study finds" (The Washington Post)
##joint;"Marijuana issue sent to a ___ committee" (Toronto Star)
##jointcommittee;"Marijuana issue sent to a ___" (Toronto Star)
##karatekicked;"'Everyone makes mistakes' says teen who ___ 74-year-old man into River Mersey" (Manchester Evening News)
##larger;"___ kangaroos leap farther, researchers find" (L.A. Times)
##literacy;"Missippi's ___ program shows improvement" (Associated Press)
##marijuana;"___ issue sent to a joint committee" (Toronto Star)
##miraclecure;"___ kills fifth patient" (Associated Press)
##money;"World Bank says poor need more ___" (A.P.)
##murder;"Judge not convinced ___ victim is alive" (Baltimore Sun)
##onelegged;"___ escapee still on the run" (The Australian)
##ontherun;"One-legged escapee still ___" (The Australian)
##oxygen;"Breathing ___ linked to staying alive" (Mason County Press)
##package;"Republicans turned off by size of Obama's ___" (viral 2009 headline)
##passing;"___ wind strands BC Ferry passengers" (Vancouver Sun)
##poor;"World Bank says ___ need more money" (Associated Press)
##qualityoflife;"Terminal illness strains ___" (Arizona Republic)
##screw;"Textron Inc. makes offer to ___ company stockholders" (Miami Herald)
##sewer;"City unsure why the ___ smells" (South Haven Herald-Palladium)
##shellshocked;"Tortoise theft leaves owner ___" (Whitechurch Herald)
##shoutingmatch;"___ ends teacher's hearing" (newspaper headline)
##smells;"City unsure why the sewer ___" (South Haven Herald-Palladium)
##spicysausage;"French scientist owns up after star photo revealed to be ___" (ABC News)
##stayingalive;"Breathing oxygen linked to ___" (Mason County Press)
##stool;"Child's ___ great for use in garden" (Buffalo Courier-Express)
##teenpregnancy;"Statistics show that ___ drops off significantly after age 25" (Denver Post)
##tortoise;"___ theft leaves owner shell-shocked" (Whitechurch Herald)
##violin;"Drunk gets three months in ___ case" (Headline)
##violincase;"Drunk gets three months in ___" (Headline)
##walkout;"Limb centre hit by ___" (Cumberland News)
##weapons;"Federal agents raid gun shop, find ___" (The World)
##weather;"Forecaster calls for ___ on Monday" (Pittsburg Post-Gazette)
##wind;"Passing ___ strands BC Ferry passengers" (Vancouver Sun)
*adlibber;Make-up artist?
lace;Tie up in knots?
laced;Tied up in knots?
laces;Ties up in knots?
lacing;Tying up in knots?
ladle;Stock holder?
ladles;Stock holders?
lager;Heady stuff?
lagers;Heady stuff?
languagebarrier;Alphabet block?
languagebarrier;Term limit?
languagebarriers;Alphabet blocks?
languagebarriers;Term limits?
lap;Something notwithstanding?
larcenies;Get-rich-quick schemes?
larceny;Get-rich-quick scheme?
larynx;Pipe organ?
larynxes;Pipe organs?
lase;Have some light work done?
lased;Had some light work done?
lases;Has some light work done?
lateriser;Slugabed
laterisers;Slugabeds
laughinggas;Number for takeout?
lawfirm;Legal pad
leaf;Sticky end?
leave;Order to go
leavemealone;Layoff demand?
lent;Time to go fast
lesson;Something related to children
lessons;They're related to children
liftwithyourlegs;Exercise caution?
lincoln;A figure of speech?
lipstick;A thing of beauty
liquid;Like oil and water
litter;Refuse to pick up?
livingroom;Hang in there
longe;Free at last?
longe;Meets in the middle?
longi;Capital of Iceland?
longi;Capital of Iowa?
longi;Capital of Iran?
longi;Capital of Ireland?
longo;Center of controversy?
longu;Community center?
longu;Union leader?
loo;Need to go?
lookwhatidrew;Made a bee line, say?
loos;Needs to go?
loot;Take things, literally
looted;Took things, literally
looting;Taking things, literally
loots;Takes things, literally
losangeles;Rams home?
louisdaguerre;First person shooter?
lowcarbdiet;It goes against the grain?
luggage;There's a lot to unpack
magicword;Casting call?
magstripe;Line of credit?
makeitfast;Rush order?
makeitquick;Rush order?
makeitsnappy;Rush order?
makeup;A thing of beauty
makeupbag;A thing of beauty
makeupbrush;A thing of beauty
makeupcase;A thing of beauty
makeupcases;Things of beauty
mallets;Bonkers
manure;Flies home?
marquee;Star board?
mascara;A thing of beauty
mascaras;They're things of beauty
mayihavethisdance;Cutting in line?
mechanical;Like clockwork
medusa;Her looks are to die for
merger;Kind of a big deal
mesa;Level one
mickey;Animated icon?
mickeymouse;Animated icon?
midwife;Delivery person
midwives;Delivery people
minister;Profession of faith
ministers;Professions of faith
mint;Penny press?
misattribution;Bad credit?
mitt;Fly catcher?
mitts;Fly catchers?
mmm;Stock ticker for 3M
mobil;Gas giant?
mom;Awkward thing to call your teacher
morgue;Stiff joint?
morgues;Stiff joints?
mosh;Pit for metal scraps?
motherearth;Dirty girl?
mothier;Holier, maybe?
mothiest;Holiest, maybe?
moveit;Rush order?
movieset;Where to see shooting stars?
moviesets;Where to see shooting stars?
mred;Show horse
mrincredible;Pop in a movie?
mulch;Lay the groundwork?
mulched;Laid the groundwork?
mulches;Lays the groundwork?
mulching;Laying the groundwork?
mule;Half ass
mummies;Remains under wraps?
mummified;Kept under wraps?
mummifies;Keeps under wraps?
mummify;Keep under wraps?
mummy;Remains under wraps?
mybad;Fault line?
myeyesareuphere;Checkout counter?
nabbing;Taking form?
nachos;Fan fare?
nail;Hammer
nail;Hammer home a point?
nail;Hit it!
nailed;Hammered
nailed;Hammered home a point?
nailedin;Hammered home a point?
nailin;Hammer home a point?
nailingin;Hammering home a point?
nails;Hammers
nails;Hammers home a point?
nailsin;Hammers home a point?
navies;Sub divisions
navy;Sub division
neardeathexperience;Tunnel vision?
neck;End in a tie?
neck;Head home?
necrophiliac;Grave digger?
necrophiliacs;Grave diggers?
needle;Do a little digging?
needle;Stick with it
needlecraft;Sewer system?
needled;Did a little digging?
needlepoint;Sewer system?
needles;Does a little digging?
needling;Doing a little digging?
negative;Nonplussed?
ness;Abrupt finish?
ness;Tight end?
nest;Flying home?
net;Tennis center?
nextroundisonme;Free spirit
nigh;Dated around?
nocarbdiet;It goes against the grain?
nocarbdiets;They go against the grain?
nocutting;Line rule
nohogging;Blanket policy?
noises;Heard things?
nonalcoholic;Like a virgin?
noodles;Pool sticks?
noprob;Line of latitude?
noproblem;Line of latitude?
noproblemo;Line of latitude?
notguilty;Legal profession?
notimeflat;Two shakes of a lamb's tail
novocaine;Number for takeout?
nucleus;Heart of the matter?
nun;Profession of faith
nuns;Professions of faith
oceanliner;Getaway vehicle?
oceanliners;Getaway vehicles?
officer;Booking agent?
officers;Booking agents?
oid;What makes a fact trivial?
oid;What makes a human like a human?
okcupid;Where to play with matches?
oldie;Historical record?
oldies;Historical records?
olive;Garden variety?
olivertwist;Broke character?
one;Mini figure
ones;Mini figures
oohaahpoint;Grand Canyon overlook and what to do there
oopsmybad;Fault line?
openit;Present day demand?
orator;Figure of speech?
orators;Figures of speech?
oscars;Movie props?
osha;Grp. that'll help if you don't feel safe climbing the corporate ladder?
oust;Dismember?
ousted;Dismembered?
ouster;Dismemberment
ousting;Dismembering?
ousts;Dismembers?
out;Order to go
outofgas;No laughing matter?
outsidethebox;Think so?
oyez;Court order?
oyez;Order in the court?
oyez;Supreme Court term
pablopicasso;On the moon landing: "It means nothing to me. I have no opinion about it, and I don't care."
paceyourself;Exercise caution?
packyourstuff;Firing line?
packyourthings;Firing line?
page;One for the books
paleo;Diet that goes against the grain?
paleodiet;It goes against the grain?
pancake;Fall flat?
panicked;Past tense?
panicky;Past tense?
paparazzi;Stargazers?
paparazzo;Stargazer?
paperorplastic;Checkout line?
parole;Incomplete sentence?
paroles;Incomplete sentences?
partiers;Punch line, say?
partygoers;Punch line, say?
peachemoji;Sex symbol?
peachemojis;Sex symbols?
pencap;Writer's block?
petrified;Past tense?
photog;One who might call all the shots?
photog;Snapper
photographer;One who might call all the shots?
photographer;Snapper
photographers;Ones who might call all the shots?
photographers;Snappers
photogs;Ones who might call all the shots?
photogs;Snappers
photolab;Negative space?
physics;Energy field?
picasso;On the moon landing: "It means nothing to me. I have no opinion about it, and I don't care."
piggybank;Change location?
piggybanks;Change locations?
pillow;Down home?
pillowtalk;"Come again?", say
pilsner;Heady stuff?
pilsners;Heady stuff?
pinata;Party animal?
pinata;Stuffed animal?
pinatas;Party animals?
pinatas;Stuffed animals?
pinkytoe;Little dipper?
pip;Broke character?
pitboss;Game controller?
pitboss;Supervisor keen to know what you bring to the table
pitbosses;Game controllers?
pitbosses;Supervisors keen to know what you bring to the table
plateau;Level one
playground;Slides home?
playgroundslide;It's a slippery slope
plumage;Bit of a lark?
plunder;Take things, literally
plundered;Took things, literally
plundering;Taking things, literally
plunders;Takes things, literally
plus;Summer sign?
pluses;Summer signs?
pocket;Phone home, maybe?
pocketveto;Presidential term?
policechief;Copper head?
pontiffs;See stars?
popcorn;Fan fare?
popes;See stars?
porkbarrel;Congressional term?
porkrind;Skinny food?
porkrinds;Skinny food?
posing;Model behavior?
postoffice;Stamp pad?
pothead;Joint owner?
potheads;Joint owners?
pothole;Street wear?
potholes;Street wear?
potsmoker;Joint owner?
potsmokers;Joint owners?
pretzel;Fan fare?
pretzels;Fan fare?
priest;Profession of faith
priesthood;Profession of faith?
priests;Professions of faith
print;Form letters
professor;One who's behind the curve?
professors;Ones behind the curve?
programs;Play cards?
promisering;Circle of trust?
promiserings;Circles of trust?
proton;It's positively electric
proton;Nuclear reactor?
protons;Nuclear reactors?
protons;Their positively electric
psychiatrist;Baggage handler?
psychiatrists;Baggage handlers?
pulp;Juicy tidbit?
pun;"The lowest and most groveling kind of wit" per poet John Dryden
puppeteer;Pull some strings
puppeteered;Pulled some strings
puppeteering;Pulling some strings
puppeteers;Pulls some strings
purplerain;Prince's subject?
push;Contractual obligation?
push;Delivery order?
putitback;Restoring order?
pyre;Where one might carry a torch for a lost love?
qbs;Ones who make snap decisions, briefly?
quads;Four of a kind, in poker lingo
quaking;Past tense?
quarterback;One who makes snap decisions?
quarterbacks;Ones who makes snap decisions?
rabbi;Profession of faith
rabbis;Professions of faith
rage;Red state
rainbowemoji;Gay icon?
rainbowemojis;Gay icons?
raiseaglass;Lift one's spirits?
raisedaglass;Lifted one's spirits?
raisesaglass;Lifts one's spirits?
raisingaglass;Lifting one's spirits?
range;Driving home?
rapbattle;Needle exchange?
rapbattle;War of words?
rapbattles;Needle exchanges?
rapbattles;Wars of words?
rappel;Drop a line?
rappel;Go down swinging?
rappel;Go downhill fast?
rappeled;Dropped a line?
rappeled;Went down swinging?
rappeled;Went downhill fast?
rappeling;Dropping a line?
rappeling;Going down swinging?
rappeling;Going downhill fast?
rappelled;Dropped a line?
rappelled;Went down swinging?
rappelled;Went downhill fast?
rappelling;Dropping a line?
rappelling;Going down swinging?
rappelling;Going downhill fast?
rappels;Drops a line?
rappels;Goes down swinging?
rappels;Goes downhill fast?
rapsheet;Record collection?
rapsheets;Record collection?
ratings;Show concern?
readysetgo;Starting line?
reagan;Acting president
recordsleeve;It helps cover one's tracks?
recordsleeves;They help cover one's tracks?
redact;Get the word out?
redact;Make paper cuts
redacted;Got the word out?
redacted;Made paper cuts
redacting;Getting the word out?
redacting;Making paper cuts
redacts;Gets the word out?
redacts;Makes paper cuts
redeal;Change hands
redealing;Changing hands
redeals;Changes hands
redealt;Changed hands
redeye;Fly-by-night?
reggae;Offbeat music?
regrab;Take over?
regrabbed;Took over?
regrabbing;Taking over?
regrabs;Takes over?
rein;Hold your horses
relic;A thing of the past
religion;Holy field?
republicanparty;Bush league?
republicans;Bush league?
resistchange;Mind altering?
restroom;Need to go?
restrooms;Needs to go?
retainer;Firm price?
retainers;Firm prices?
ribcage;Organic compound?
ribcages;Organic compounds?
rifle;Long arm of the law?
ring;Holey smoke?
road;Kind of a drag
roadie;Band aid?
roadie;Band aide
roadie;Band mate
roadies;Band aides
roadies;Band aids?
roadies;Band mates
roadtohell;Way down below?
rob;Take things, literally
robbed;Took things, literally
robberies;Get-rich-quick schemes?
robbery;Get-rich-quick scheme?
robbing;Taking things, literally
robocall;Automatic transmission?
robocalls;Automatic transmissions?
robs;Takes things, literally
rock;Garden variety?
ronaldreagan;Acting president
round;Like buttons
row;Plain tiff
rumdiary;Drunk text?
run;Play dates?
rundown;At no charge?
rundown;Charge too little?
runway;Model home?
runways;Model homes?
rush;Not deliberate
rushin;Not deliberate
sadness;Blue state?
safari;Where to watch the big game?
safaris;Where to watch the big game?
safetyrack;Exercise caution?
saga;It's a long story
salsadancer;Big dipper?
sand;Saudi Arabia imports sand from Belgium for construction
sanddial;Old timer
sanddials;Old timers
santasworkshop;Present company?
sarcophagi;Stiff joints?
sarcophagus;Stiff joint?
satire;Swift vehicle?
saudiarabia;Country that imports sand and camels from Australia
scared;Past tense?
scarer;"Monsters, Inc." employee
scarers;"Monsters, Inc." employees
scat;Order to go
scentedcandle;Wax romantic?
scentedcandles;Wax romantic?
schedule;Times table?
schedules;Times tables?
schwa;Center of controversy?
schwa;End of an era?
scram;Order to go
scratch;Mark on one's record?
seam;Sewer line?
seams;Sewer lines?
seance;Attempt to raise people's spirits?
seances;Attempts to raise people's spirits?
sediment;Run-off at the mouth?
seespots;Experience points?
seethelight;Look on the bright side?
seeyasuckers;Pre-flight announcement?
sermon;Cross promotion
sermon;Cross talk
sermons;Cross promotion
sermons;Cross talk
servers;Table manners?
service;Cross promotion
service;Cross talk
services;Cross promotion
services;Cross talk
sew;Line one's pockets, perhaps?
sewed;Lined one's pockets, perhaps?
sewing;Lining one's pockets, perhaps?
sews;Lines one's pockets, perhaps?
sexmarathon;A long time coming?
sexmarathon;Screw over big time?
sexmarathons;Screws over big time?
sexpot;One who makes appeals to congress?
sexpots;Ones who make appeals to congress?
sext;Blue note?
sexting;Blue notes?
shakespeareanactor;Globe trotter?
shakespeareanactors;Globe trotters?
shakespearianactor;Globe trotter?
shakespearianactors;Globe trotters?
shave;Distress?
shaved;Distressed?
shaven;Distressed?
shaving;Distressing?
shell;Gas giant?
shelovesme;Picky verdict?
shelovesmenot;Picky verdict?
shiv;Pen knife? [ignoreed in Doing Front Flips]
shivs;Pen knife? [ignoreed in Doing Front Flips]
shockjock;Offensive lineman?
shockjocks;Offensive linemen?
shoe;Deal with it!
shoe;Put a sock in it!
shoo;Order to go
shootfromthehip;Not deliberate
shorte;Rec center?
shorti;Capital of India?
shorti;Capital of Indonesia?
shorti;Hurricane center?
shorti;Industry leader?
shorti;Visitor center?
shorto;Leader of the opposition?
shortu;Stuck in the middle?
shower;Get into hot water
showered;Got into hot water
showers;Gets into hot water
shrink;Baggage handler?
shrinks;Unloading zone?
shush;Zip line?
signlanguage;Digital communication?
silente;Alternate ending?
silente;Close to home?
silente;End on a high note?
silente;Home at last?
silente;Nerve ending?
silente;Stage right?
silentg;Fitting ending?
silentk;Knee cap?
silentk;Knife tip?
silentk;Knock first?
silentk;Know right away?
silentk;Knowledge base?
silentk;Knucklehead?
silt;Run-off at the mouth?
singleblindedexperiment;Trick or treat?
sixpack;Cold case?
sixpack;Hard core?
sixpackabs;Hard core?
ska;Offbeat music?
sketcher;One who's quick on the draw?
skinmag;Blue book?
skinmag;Cheesecake catalog?
skinmags;Cheesecake catalogs?
skipbail;Bolt out of the blue?
skull;Head quarters
slang;Snack for an attractive person?
slang;Tools for jerks?
slangterm;Snack for an attractive person?
slangterm;Tools for jerks?
sleepschedule;Retirement plan?
slide;It's a slippery slope
slinkytoss;Spring fling?
slinkytosses;Spring flings?
smut;Blue prints?
smut;Graphic novels?
snake;Garden party
snatching;Taking form?
snip;Short cut
snips;Short cuts
snore;Sound asleep
sofa;Remote place to be lost?
sofa;Throws home?
softc;Civic leader?
solarsystem;Revolutionary group?
sounds;Heard things?
soundstage;Where to see shooting stars?
soundstages;Where to see shooting stars?
soupbowl;Stock holder?
soupbowls;Stock holders?
soupkitchen;Stock room?
soupkitchens;Stock rooms?
soupladle;Stock holder?
soupladles;Stock holders?
souppot;Stock holder?
souppots;Stock holders?
soupspoon;Stock holder?
soupspoons;Stock holders?
spacex;Starship enterprise
spanish;It rolls off the tongue
speeddate;Mix and match?
speeddated;Mixed and matched?
speeddates;Mixes and matches?
speeddating;Mixing and matching?
spies;They may bug you
splitpersonalities;Likeminded individuals?
splitpersonality;Likeminded individual?
spooked;Past tense?
sportsbra;Athletic supporter
sportsbras;Athletic supporters
spotter;Exercise caution?
spy;Someone who may bug you
squint;Look not so well?
squinted;Looked not so well?
squinting;Looking not so well?
squints;Looks not so well?
ssrs;United states, once: Abbr.
stain;Spot of trouble?
staked;Unflappable?
stampede;Chain bolt?
stampede;Stock split?
standingo;Theater props?
standingos;Huge theater props?
standingovation;Theater props?
starboard;Berth right?
stash;Drug store?
stashes;Drug stores?
steal;Mistake?
steal;Take things, literally
stealing;Mistaking?
stealing;Taking form?
stealing;Taking things, literally
steals;Mistakes?
steals;Takes things, literally
steer;Jersey boy? [ignored in Er, I See]
steers;Jersey boys? [ignored in Er, I See]
stenographer;Hearing aide
stenographers;Hearing aides
steponit;Rush order?
steroid;Mass producer?
steroids;Mass producers?
stewpan;Stock holder?
stewpans;Stock holders?
stewpot;Stock holder?
stewpots;Stock holders?
stickup;Get-rich-quick scheme?
stickups;Get-rich-quick schemes?
stilettos;High kicks?
stoke;Rekindle an old flame
stoked;Rekindled an old flame
stokes;Rekindles an old flame
stoking;Rekindling an old flame
stole;Mistook?
stole;Took things, literally
stolen;Mistaken?
stolencar;Hot wheels?
stolencars;Hot wheels?
stork;Delivery vehicle
street;Kind of a drag
streetname;Handle like a gangster?
streetname;Handle out in the open?
streetname;Handle outside?
streetname;Handle publicly?
streetnames;Handles like a gangster?
streetnames;Handles out in the open?
streetnames;Handles outside?
streetnames;Handles publicly?
strep;Pain in the neck
strepthroat;Pain in the neck
strongman;Heavy weight champion?
strongmen;Heavy weight champions?
strutting;Model behavior?
studio;Sketch pad?
studios;Drawing lots?
studios;Sketch pads?
stye;Sight for sore eyes?
stylish;Well worn?
subpoenas;Hearing things?
subtracted;Nonplussed?
suitcase;There's a lot to unpack
sunoco;Gas giant?
supermajority;Congressional term?
swat;Take a flyer on?
swats;Takes a flyer on?
swatted;Took a flyer on?
swatting;Taking a flyer on?
sweettooth;Candy crush?
sweettooth;Reason someone's always in a jam?
sweettooth;Why hubby takes the cake?
syringe;Stick with it
tacobar;Shell station?
tacobars;Shell stations?
tag;Burger day?
takeabath;Get into hot water
takeahike;Order to go
takeashower;Get into hot water
takesabath;Gets into hot water
takesashower;Gets into hot water
tattooartist;Permanent marker?
tattooartists;Permanent markers?
tattooer;Permanent marker?
tattooers;Permanent markers?
tattooist;Permanent marker?
tattooists;Permanent markers?
tea;Garden variety?
tea;Subject of a steep tax?
teachersass;Bottom of the class?
tear;Eye drop?
tearjerker;Read it and weep
tearjerker;Sob story
tearjerkers;Read 'em and weep
tearjerkers;Sob stories
tearjerkingscene;Watershed moment?
tearjerkingscenes;Watershed moments?
tears;Eye drops?
teatax;Steep fine?
teataxes;Steep fines?
teebox;Drives home?
teebox;Driving home?
teedoff;Took a drive?
teeingoff;Taking a drive?
teenidol;Minor celebrity?
teenidol;Minor in music?
teenidol;Minor star?
teenidols;Minor celebrities?
teenidols;Minor stars?
teenidols;Minors in music?
teenstar;Minor celebrity?
teenstars;Minor celebrities?
teeoff;Take a drive?
teeoff;Take a long drive?
teesoff;Takes a drive?
telegraph;Digital communication?
telegraph;Manual transmission?
telescope;Meteor shower?
telescopes;Meteor showers?
telly;The tube, in London
tendbar;Sling shots?
tentpolemovie;Shoot for the stars?
tentpolemovies;Shoots for the stars?
term;Added value
thatsenough;Finish line?
thatsit;Finish line?
thee;For whom the bell tolls
theft;Get-rich-quick scheme?
thefts;Get-rich-quick schemes?
theironlady;Metal ruler?
thejoyofcooking;Flavor text?
thenextroundisonme;Free spirits
therapist;Baggage handler?
therapistoffices;Unloading zones?
therapists;Baggage handlers?
therapists;Unloading zone?
therapistsoffice;Unloading zone?
therapy;Unloading zone?
theroadtohell;Way down below?
therumdiary;Drunk text?
theyreoff;Starting line?
thisroundisonme;Free spirits...
threaded;Like buttons
timessymbol;Product lines?
tinder;Where to play with matches?
tinytim;Broke character?
tinytimcratchit;Broke character?
tip;That's the point!
tko;Feat of Clay? (Abbr.)
tkos;Feats of Clay? (Abbr.)
toast;Lift one's spirits?
toasted;Lifted one's spirits?
toasting;Lifting one's spirits?
toasts;Lifts one's spirits?
tobacco;Leaves out to dry?
toejam;The stuff of leg ends?
toga;Caesar dressing?
togae;Caesar dressing?
togaed;With Caesar dressing?
togas;Caesar dressing?
toilet;Head out to sea?
toilet;Need to go?
toilet;Something to go on?
toilets;Heads out to sea?
toilets;Needs to go?
tombraider;Grave danger?
tomjoad;Broke character?
tonys;Theater props?
tookabath;Got into hot water
tookashower;Got into hot water
toolbelt;Hammer home?
toolbox;Hammer home?
toolshed;Hammer home?
top;Overdrive?
topsirloin;Upper cut?
toptheball;Drive over?
toptheball;Overdrive?
totalitarian;Protest banner?
totalitarians;Protest banners?
tourbus;Band wagon?
tourbuses;Band wagons?
tradedinsults;Participated in a needle exchange?
tradeinsults;Exchange needles?
tradinginsults;Needle exchange?
tradinginsults;Participating in a needle exchange?
tragedy;Read it and weep
trash;Flies home?
trashbag;Takeout container?
trashbags;Takeout containers?
trashday;Waste time?
treaty;Kind of a big deal
treebeard;Wooden ruler?
treefort;Leaves home?
treehouse;Leaves home?
treehouse;Stick-y pad?
treehouses;Stick-y pads?
trombone;Slide home?
truckdriver;Semi conductor?
truckdrivers;Semi conductors?
trucker;Semi conductor?
truckers;Semi conductors?
true;Kind of blue?
trypanophobe;One with sticker shock?
trypanophobia;Sticker shock?
twothumbsup;Movie props?
uberrich;Overloaded?
understudy;Star pupil
valjean;Broke character?
vamoose;Order to go
vanity;A thing of beauty
vegetable;Garden variety?
veil;Top of the mourning?
venus;Where a day is longer than a year
vocalcord;Pipe organ?
vocalcords;Pipe organs?
voltage;Potential difference
volume;Remote possibility?
waiters;Table manners?
waitresses;Table manners?
waitrons;Table manners?
waityourturn;Line rule
wars;End of many reality show names
wasitgoodforyou;Finish line?
watch;It's strapped for time
watches;They're strapped for time
watchyourform;Exercise caution?
waterslide;It's a slippery slope
waterslides;They're slippery slopes
wellbequiet;Zip line?
wewillrockyou;Queen's decree?
wheel;Big cheese
whiskered;Like cats and dogs
whosnext;Line of succession?
widowspeak;Hairy edge?
willyoubequiet;Zip line?
wind;Air force?
wing;Bit of a lark?
wood;Drive shaft?
wrangle;Take stock in?
wrangled;Took stock in?
wrangles;Takes stock in?
wrangling;Taking stock in?
writinggroup;Word association?
xed;Made the first move, in a way
xes;Makes the first move, in a way
xes;Product lines?
xoxo;Love letters
yenta;One who plays with matches?
yokozuna;Heavyweight champion
youdidit;Line of credit?
youreit;Tag line
yourenext;Line of succession?
zero;It's a bit off?
zero;Mini figure
zero;Round figure?
zeros;Mini figures
zerozero;Pointless
zipcodes;Public address system
zombie;Bored stiff?
zombie;Grave danger?
zombie;Stiff opposition?
zombies;Grave danger?
